Muestra,Tiempo (s),Voltaje (V),Temperatura (°C)
291,13.495265,-138769024.000000,1098261.000
292,13.547669,-139105680.000000,1098261.000
293,13.599489,-136420672.000000,1094967.000
294,13.651659,-131705416.000000,1094967.000
295,13.703827,-126755160.000000,1089852.000
296,13.756058,-122060816.000000,1089852.000
297,13.808351,-118263688.000000,1090033.000
298,13.860516,-115018312.000000,1090033.000
299,13.912414,-111909920.000000,1090543.000
300,13.964710,-108754800.000000,1090543.000
301,14.016698,-108414032.000000,1090915.000
302,14.068665,-111788360.000000,1090915.000
303,14.121031,-116173432.000000,1090403.000
304,14.173299,-120373232.000000,1090403.000
305,14.225403,-123973056.000000,1089152.000
306,14.277524,-127007736.000000,1089152.000
307,14.329416,-129570912.000000,1089060.000
308,14.381485,-131642936.000000,1089060.000
309,14.433878,-133391168.000000,1088776.000
310,14.485982,-134132944.000000,1088776.000
311,14.538204,-134135048.000000,1088685.000
312,14.590149,-135044480.000000,1088685.000
313,14.642241,-136625520.000000,1087940.000
314,14.694201,-138173168.000000,1088205.000
315,14.746706,-139352976.000000,1088205.000
316,14.798525,-137430512.000000,1088054.000
317,14.850852,-133268000.000000,1088054.000
318,14.903033,-128752624.000000,1087752.000
319,14.955266,-123705136.000000,1087752.000
320,15.007321,-119544232.000000,1088785.000
321,15.059513,-116138456.000000,1088785.000
322,15.111632,-112911632.000000,1088566.000
323,15.164038,-109555296.000000,1088566.000
324,15.215731,-108095664.000000,1089475.000
325,15.268103,-110346584.000000,1089475.000
326,15.319983,-114541024.000000,1088028.000
327,15.372242,-118795232.000000,1088028.000
328,15.424520,-123047008.000000,1085325.000
329,15.476580,-126256072.000000,1085325.000
330,15.529051,-128523696.000000,1085152.000
331,15.580795,-130823888.000000,1085152.000
332,15.632934,-132482904.000000,1085414.000
333,15.685069,-133452824.000000,1085414.000
334,15.737236,-134031992.000000,1086132.000
335,15.789415,-134541376.000000,1086132.000
336,15.841468,-135794128.000000,1084671.000
337,15.893678,-137493280.000000,1084015.000
338,15.945682,-139100944.000000,1084015.000
339,15.997623,-138469904.000000,1084419.000
340,16.049877,-135050768.000000,1084419.000
341,16.102245,-130468376.000000,1086029.000
342,16.154198,-125362176.000000,1086029.000
343,16.206150,-121001392.000000,1080104.000
344,16.258240,-117519400.000000,1080104.000
345,16.310416,-114264984.000000,1075487.000
346,16.362565,-110824336.000000,1075487.000
347,16.414794,-108225968.000000,1075036.000
348,16.467138,-108899944.000000,1075036.000
349,16.519143,-112466064.000000,1074836.000
350,16.571397,-116840600.000000,1074836.000
351,16.623543,-121082344.000000,1074382.000
352,16.675578,-124643024.000000,1074382.000
353,16.727699,-127609744.000000,1073927.000
354,16.779702,-130102944.000000,1073927.000
355,16.831960,-131969216.000000,1073453.000
356,16.884261,-133196464.000000,1073453.000
357,16.936194,-134104104.000000,1075286.000
358,16.988551,-134422384.000000,1075286.000
359,17.040330,-135242512.000000,1075379.000
360,17.092694,-136937168.000000,1077645.000
361,17.144913,-138401696.000000,1077645.000
362,17.196735,-139272992.000000,1078075.000
363,17.248990,-136862384.000000,1078075.000
364,17.301242,-132207224.000000,1078937.000
365,17.353189,-127528344.000000,1078937.000
366,17.405325,-122642648.000000,1078321.000
367,17.457444,-118774696.000000,1078321.000
368,17.509552,-115540224.000000,1079550.000
369,17.562079,-112195128.000000,1079550.000
370,17.613800,-108811896.000000,1077818.000
371,17.718077,-110978824.000000,1078264.000
372,17.770286,-115306416.000000,1078264.000
373,17.822610,-119512896.000000,1078080.000
374,17.874783,-123231424.000000,1078080.000
375,17.926724,-126368000.000000,1075949.000
376,17.978793,-128946512.000000,1075949.000
377,18.030846,-131094704.000000,1075559.000
378,18.083217,-132624496.000000,1075559.000
379,18.135419,-133591968.000000,1075337.000
380,18.187456,-134050648.000000,1075093.000
381,18.239686,-134769056.000000,1075093.000
382,18.291735,-136265440.000000,1075297.000
383,18.343724,-137674944.000000,1075297.000
384,18.395933,-138858640.000000,1075804.000
385,18.447990,-137633472.000000,1075804.000
386,18.500100,-134042296.000000,1074463.000
387,18.604362,-124303544.000000,1074797.000
388,18.708545,-116690128.000000,1076035.000
389,18.760908,-113510544.000000,1076035.000
390,18.812926,-110117832.000000,1076340.000
391,18.865017,-107879120.000000,1076340.000
392,18.917448,-109350848.000000,1075038.000
393,18.969396,-113438352.000000,1075038.000
394,19.021554,-117732280.000000,1075195.000
395,19.074112,-121746088.000000,1075195.000
396,19.125968,-125136088.000000,1075194.000
397,19.178017,-127930208.000000,1075194.000
398,19.230030,-130348488.000000,1075256.000
399,19.282105,-132187528.000000,1075256.000
400,19.334466,-133308064.000000,1075556.000
401,19.386632,-133870208.000000,1074870.000
402,19.438674,-134240000.000000,1074870.000
403,19.490709,-135395792.000000,1075204.000
404,19.542668,-137073200.000000,1075204.000
405,19.595178,-138447664.000000,1074697.000
406,19.647057,-138707776.000000,1074697.000
407,19.699337,-135953456.000000,1074889.000
408,19.751404,-131198144.000000,1074889.000
409,19.803663,-126304112.000000,1075250.000
410,19.855841,-121600224.000000,1075250.000
411,19.907976,-117839840.000000,1075444.000
412,19.959849,-114677912.000000,1075444.000
413,20.012110,-111333888.000000,1074760.000
414,20.064152,-108160080.000000,1074760.000
415,20.116489,-108133368.000000,1074927.000
416,20.168872,-111566784.000000,1074927.000
417,20.220628,-115919536.000000,1075080.000
418,20.272721,-120149072.000000,1075080.000
419,20.324917,-123844424.000000,1074876.000
420,20.377146,-126935840.000000,1074876.000
421,20.429076,-129478784.000000,1075393.000
422,20.481251,-131493888.000000,1075393.000
423,20.533480,-132830736.000000,1074382.000
424,20.585622,-133737360.000000,1075268.000
425,20.637859,-134183568.000000,1075268.000
426,20.689863,-134831408.000000,1072754.000
427,20.741816,-136223296.000000,1072754.000
428,20.794337,-137782240.000000,1072286.000
429,20.846527,-138933104.000000,1072286.000
430,20.898407,-137014624.000000,1071414.000
431,20.950571,-132886856.000000,1071414.000
432,21.002631,-128331064.000000,1072155.000
433,21.106843,-119133464.000000,1072807.000
434,21.159230,-115863584.000000,1072807.000
435,21.211295,-112576200.000000,1074186.000
436,21.263071,-109166040.000000,1074186.000
437,21.315464,-107742552.000000,1074111.000
438,21.367746,-109974712.000000,1074111.000
439,21.419505,-114107264.000000,1073765.000
440,21.471617,-118358112.000000,1073765.000
441,21.523779,-122223560.000000,1079393.000
442,21.575948,-125558232.000000,1079393.000
443,21.628084,-128359544.000000,1080070.000
444,21.680224,-130592352.000000,1080070.000
445,21.732273,-132160256.000000,1079631.000
446,21.784549,-133187032.000000,1080277.000
447,21.836775,-133784824.000000,1080277.000
448,21.888879,-134161544.000000,1080430.000
449,21.941145,-135346400.000000,1080430.000
450,21.992989,-137068416.000000,1080354.000
451,22.045501,-138428704.000000,1080354.000
452,22.097344,-137947744.000000,1080107.000
453,22.149521,-134864768.000000,1080107.000
454,22.201739,-130250576.000000,1080796.000
455,22.253756,-125141216.000000,1080796.000
456,22.305944,-120780648.000000,1081548.000
457,22.358312,-117287792.000000,1081548.000
458,22.410303,-114038408.000000,1082184.000
459,22.462659,-110640904.000000,1082184.000
460,22.514502,-107853048.000000,1082145.000
461,22.566486,-108495904.000000,1082145.000
462,22.618856,-112313160.000000,1082177.000
463,22.670758,-116694768.000000,1082177.000
464,22.723246,-120867272.000000,1081911.000
465,22.775265,-124492736.000000,1081911.000
466,22.827475,-127563584.000000,1081386.000
467,22.879460,-130049144.000000,1081386.000
468,22.931699,-131847400.000000,1081224.000
469,22.983938,-133046824.000000,1081463.000
470,23.035888,-133793744.000000,1081463.000
471,23.088151,-134067576.000000,1081006.000
472,23.140158,-134914128.000000,1081006.000
473,23.192316,-136509392.000000,1080503.000
474,23.244517,-137955280.000000,1080503.000
475,23.296437,-138858816.000000,1081209.000
476,23.348548,-136549216.000000,1081209.000
477,23.400756,-131936328.000000,1081088.000
478,23.453069,-127268936.000000,1081088.000
479,23.505329,-122409424.000000,1081575.000
480,23.557194,-118548576.000000,1081575.000
481,23.609428,-115327248.000000,1081710.000
482,23.661870,-112014152.000000,1081710.000
483,23.713407,-108644704.000000,1081321.000
484,23.765872,-107829568.000000,1081321.000
485,23.817878,-110782216.000000,1080310.000
486,23.869791,-115149416.000000,1080310.000
487,23.922230,-119423728.000000,1081578.000
488,23.974046,-123187328.000000,1081578.000
489,24.078912,-129135312.000000,1064222.000
490,24.130614,-131826144.000000,1064222.000
491,24.182794,-133911096.000000,943429.000
492,24.235101,-135019744.000000,943429.000
493,24.287230,-135648480.000000,951686.000
494,24.339358,-136430880.000000,951686.000
495,24.391217,-137888464.000000,946860.000
496,24.443392,-139122976.000000,946860.000
497,24.495543,-139773312.000000,1038889.000
498,24.547791,-138076400.000000,1038889.000
499,24.599819,-134307696.000000,1078557.000
500,24.652108,-129791184.000000,1078557.000
501,24.704239,-124876056.000000,1071208.000
502,24.756258,-121089008.000000,1071208.000
503,24.808611,-117775096.000000,964321.000
504,24.860312,-114399056.000000,964321.000
505,24.912638,-110839256.000000,1022358.000
506,24.964964,-108566752.000000,1022358.000
507,25.016833,-110134928.000000,1022871.000
508,25.068840,-114417792.000000,1022871.000
509,25.121092,-119009752.000000,983394.000
510,25.173368,-123282488.000000,983394.000
511,25.225652,-126931272.000000,952906.000
512,25.277709,-129966232.000000,946137.000
513,25.329694,-132490776.000000,946137.000
514,25.381976,-134219632.000000,944933.000
515,25.434170,-135260000.000000,944933.000
516,25.486248,-135791376.000000,944546.000
517,25.538201,-136080240.000000,944546.000
518,25.590430,-137123808.000000,944958.000
519,25.642629,-138927360.000000,944958.000
520,25.694882,-140301376.000000,944348.000
521,25.746833,-140342224.000000,944348.000
522,25.798899,-137638064.000000,943148.000
523,25.850955,-132918520.000000,943148.000
524,25.903093,-127979776.000000,943149.000
525,25.955113,-123264880.000000,943149.000
526,26.059637,-116249864.000000,944198.000
527,26.111895,-112893336.000000,944793.000
528,26.163698,-110087512.000000,944793.000
529,26.268235,-113072320.000000,944665.000
530,26.320452,-117524320.000000,944269.000
531,26.372412,-121856592.000000,944269.000
532,26.424540,-125595032.000000,944563.000
533,26.476508,-128813056.000000,944458.000
534,26.528838,-131487344.000000,944458.000
535,26.581002,-133480072.000000,943987.000
536,26.685336,-135803488.000000,942710.000
537,26.737140,-135978304.000000,942710.000
538,26.789295,-136628864.000000,943201.000
539,26.841410,-138307664.000000,943201.000
540,26.893475,-139929920.000000,942733.000
541,26.945651,-141148880.000000,942733.000
542,26.997869,-139270656.000000,942555.000
543,27.050151,-135095504.000000,942555.000
544,27.102503,-130508776.000000,943160.000
545,27.154243,-125773080.000000,943160.000
546,27.206557,-121621328.000000,943829.000
547,27.258950,-117779872.000000,943829.000
548,27.310810,-114451976.000000,944976.000
549,27.362920,-111001424.000000,944976.000
550,27.415169,-109403976.000000,944793.000
551,27.467189,-111634616.000000,944793.000
552,27.519494,-115962008.000000,944357.000
553,27.571516,-120301424.000000,944357.000
554,27.623795,-124223376.000000,943034.000
555,27.780059,-132637104.000000,942296.000
556,27.832212,-134254656.000000,942296.000
557,27.884388,-135296192.000000,942847.000
558,27.936430,-135822416.000000,942847.000
559,28.040462,-137725056.000000,942457.000
560,28.092749,-139189984.000000,942316.000
561,28.144882,-140391312.000000,942316.000
562,28.197196,-139961568.000000,942437.000
563,28.249439,-136911984.000000,942437.000
564,28.301222,-132274880.000000,942768.000
565,28.353375,-127119696.000000,942768.000
566,28.405572,-122636328.000000,942952.000
567,28.457924,-119067040.000000,942952.000
568,28.509805,-115844360.000000,943426.000
569,28.562069,-112419496.000000,943426.000
570,28.614320,-109525424.000000,943741.000
571,28.666480,-110165760.000000,943741.000
572,28.718811,-114103312.000000,944105.000
573,28.770855,-118574984.000000,943034.000
574,28.822679,-122768696.000000,943034.000
575,28.874914,-126344800.000000,942534.000
576,28.926994,-129377672.000000,942534.000
577,28.978988,-131935848.000000,941307.000
578,29.031169,-133877192.000000,941307.000
579,29.083333,-135063168.000000,941208.000
580,29.135487,-135715536.000000,941208.000
581,29.187896,-136035088.000000,941412.000
582,29.239626,-137020272.000000,941412.000
583,29.291955,-138713648.000000,940664.000
584,29.344602,-140234608.000000,940664.000
585,29.396262,-141190112.000000,940292.000
586,29.448697,-138791936.000000,940292.000
587,29.500357,-134109232.000000,939988.000
588,29.552718,-129394344.000000,939988.000
589,29.657226,-120398384.000000,941522.000
590,29.708972,-117136248.000000,942329.000
591,29.760939,-113808160.000000,942329.000
592,29.813281,-110379264.000000,943658.000
593,29.865469,-109452016.000000,943658.000
594,29.917440,-112366528.000000,941508.000
595,29.969633,-116777776.000000,941352.000
596,30.021742,-121078888.000000,941352.000
597,30.073889,-124903368.000000,940959.000
598,30.125988,-128191656.000000,940959.000
599,30.178223,-130946880.000000,941099.000
600,30.230281,-133143640.000000,941099.000
601,30.282591,-134598656.000000,941228.000
602,30.334746,-135573376.000000,941228.000
603,30.386890,-136023824.000000,941114.000
604,30.438792,-136614976.000000,941114.000
605,30.491133,-138027552.000000,940698.000
606,30.543325,-139567904.000000,940698.000
607,30.595183,-140823424.000000,940432.000
608,30.647514,-139722352.000000,940432.000
609,30.699532,-136102432.000000,940471.000
610,30.751804,-131293888.000000,940471.000
611,30.803817,-125991048.000000,940428.000
612,30.855967,-121734704.000000,940428.000
613,30.907939,-118346496.000000,941579.000
614,30.960438,-115031048.000000,941579.000
615,31.012264,-111511488.000000,942770.000
616,31.064292,-109284120.000000,942770.000
617,31.116682,-110814480.000000,942370.000
618,31.168912,-115224912.000000,941515.000
619,31.220869,-119507152.000000,941515.000
620,31.273092,-123244808.000000,940951.000
621,31.325090,-126722080.000000,940951.000
622,31.377478,-129655624.000000,940143.000
623,31.429563,-132150192.000000,940143.000
624,31.481629,-133911312.000000,940463.000
625,31.533615,-135028704.000000,940463.000
626,31.586169,-135776544.000000,939800.000
627,31.638172,-136191648.000000,939800.000
628,31.690158,-137198496.000000,940689.000
629,31.742141,-138696608.000000,940689.000
630,31.794133,-139979232.000000,939986.000
631,31.846399,-140314784.000000,939986.000
632,31.898674,-137643616.000000,939784.000
633,31.950597,-132850600.000000,939784.000
634,32.002808,-127807968.000000,940669.000
635,32.054922,-123063624.000000,940669.000
636,32.106974,-119339168.000000,941222.000
637,32.159178,-116276080.000000,941222.000
638,32.211540,-112801928.000000,941620.000
639,32.263420,-109326464.000000,941620.000
640,32.315639,-109260808.000000,941616.000
641,32.367758,-112869424.000000,941414.000
642,32.419815,-117483592.000000,941414.000
643,32.472075,-121897824.000000,940690.000
644,32.524084,-125668496.000000,940690.000
645,32.576645,-128859760.000000,940520.000
646,32.628719,-131508176.000000,940520.000
647,32.680748,-133502320.000000,940153.000
648,32.732612,-134712048.000000,940153.000
649,32.785111,-135424256.000000,940215.000
650,32.837119,-135693840.000000,940215.000
651,32.889142,-136480224.000000,940657.000
652,32.941179,-138218960.000000,940657.000
653,32.993645,-139828704.000000,940868.000
654,33.045452,-141032144.000000,940868.000
655,33.097696,-139155408.000000,940846.000
656,33.149715,-135060720.000000,940846.000
657,33.202071,-130468784.000000,941286.000
658,33.254269,-125100088.000000,941286.000
659,33.306274,-120914328.000000,941568.000
660,33.358541,-117582232.000000,941568.000
661,33.410369,-114278384.000000,942720.000
662,33.462716,-110802704.000000,942720.000
663,33.514621,-109229280.000000,942681.000
664,33.566985,-111524232.000000,942051.000
665,33.619103,-115878592.000000,942051.000
666,33.671141,-120379592.000000,942396.000
667,33.723508,-124331128.000000,942396.000
668,33.775622,-127573208.000000,941744.000
669,33.827461,-130410008.000000,941744.000
670,33.879667,-132669280.000000,941673.000
