Time (s), TIVA Raw
27.49439, -0.00474407291
27.546618, -0.00476984493
27.598877, -0.00479007232
27.651006, -0.00480862101
27.703476, -0.00482123205
27.755352, -0.00482889451
27.80722, -0.00485446769
27.859611, -0.004856179
27.911975, -0.00485806073
27.964245, -0.0048554833
28.015705, -0.00485626049
28.067826, -0.00486024189
28.120218, -0.00486373901
28.172268, -0.00486231036
28.224674, -0.00486718025
28.276499, -0.00488288328
28.32869, -0.0048996075
28.380855, -0.00491235824
28.484839, -0.00492433924
28.537117, -0.00493692699
28.589261, -0.00495238928
28.641319, -0.00496507575
28.693445, -0.00498725427
28.74555, -0.00499790068
28.797688, -0.00500830542
28.849876, -0.00500464858
28.902119, -0.00499529717
28.954439, -0.00499361939
29.006556, -0.00499975541
29.058458, -0.00500677898
29.110441, -0.005003992
29.162766, -0.00500329118
29.214848, -0.00502271717
29.266994, -0.00501856347
29.319298, -0.00501667335
29.371237, -0.00501829152
29.42339, -0.00501971133
29.475652, -0.00501780072
29.527664, -0.0050155567
29.579801, -0.00501554273
29.632028, -0.00501768896
29.684303, -0.00501911249
29.736261, -0.00501807453
29.788396, -0.00501788593
29.840485, -0.00502035301
29.892747, -0.00502187525
29.945074, -0.00501761771
29.996977, -0.00501432735
30.048918, -0.00501310685
30.101235, -0.00501525681
30.153477, -0.00501616206
30.20549, -0.00501496111
30.257456, -0.00501392362
30.309701, -0.00501296948
30.361665, -0.00501118833
30.413764, -0.00500808423
30.465961, -0.00500762136
30.518077, -0.0050068451
30.570168, -0.00500781787
30.622394, -0.00501781329
30.67449, -0.00502542592
30.726658, -0.00501371361
30.779047, -0.00500866444
30.831043, -0.00500542577
30.883083, -0.00500227231
30.935102, -0.0049993121
30.987356, -0.00499653303
31.039389, -0.0049917181
31.091651, -0.00494994549
31.143718, -0.00491407234
31.195869, -0.00488391239
31.248661, -0.0048509268
31.300007, -0.00479127746
31.352262, -0.00471511948
31.404461, -0.00464263698
31.456951, -0.00457444181
31.50897, -0.00450550299
31.561317, -0.00444313092
31.612894, -0.00438811257
31.665384, -0.00433814059
31.717173, -0.00429409323
31.769725, -0.00425229594
31.821743, -0.00421273242
31.873585, -0.00417185854
