Time (s), TIVA Raw
11.864833, -0.005094447988
11.917027, -0.005095610977
11.969119, -0.005096073146
12.021314, -0.005095386878
12.07359, -0.005095322849
12.12539, -0.005093616201
12.177338, -0.005090992781
12.229556, -0.005089830956
12.281864, -0.005089323386
12.33402, -0.00508914236
12.386009, -0.005088039907
12.438023, -0.005087138852
12.490324, -0.005086353049
12.5423, -0.005084906588
12.594517, -0.005083088763
12.646904, -0.005081138224
12.698969, -0.005079638795
12.750941, -0.005079685943
12.80297, -0.005079010734
12.855271, -0.005076961825
12.907269, -0.005077323876
12.959445, -0.005079453695
13.011558, -0.005080741248
13.06371, -0.00507965975
13.116062, -0.005077933893
13.168143, -0.005072068889
13.220273, -0.005015092902
13.272298, -0.004890998825
13.32458, -0.004718530981
13.376768, -0.004541276139
13.428707, -0.004393114359
13.480718, -0.004267386394
13.532896, -0.004150044115
13.58504, -0.004026538227
13.637174, -0.003979928442
13.689249, -0.00406556268
13.741418, -0.004214821383
13.793584, -0.004362175823
13.845673, -0.004496056645
13.897779, -0.004608084273
13.949989, -0.004696282849
14.002043, -0.004773322726
14.054135, -0.004830763792
14.106357, -0.004863508802
14.158497, -0.004881737696
14.210558, -0.00490205246
14.262713, -0.004941171501
14.419118, -0.005058739334
14.471299, -0.00505217351
14.523409, -0.005058019888
14.575538, -0.005066051381
14.627997, -0.005074930377
14.679862, -0.005082407151
14.732077, -0.005090029445
14.784212, -0.005099052796
14.836463, -0.005105154705
14.888683, -0.005114645464
14.940649, -0.005113565712
14.992963, -0.005105135497
15.044805, -0.005105642485
15.097237, -0.005106452154
15.1493, -0.005107320612
15.201535, -0.005107125617
15.253634, -0.005106091849
15.305466, -0.005105626187
15.357543, -0.005114696105
15.409739, -0.005112421932
15.461846, -0.005098204128
15.513998, -0.005094790249
15.566137, -0.005093956133
15.618612, -0.005093832733
15.670513, -0.005093675572
15.723043, -0.005092391511
15.774687, -0.005091321655
15.826968, -0.005090789055
15.878991, -0.005101958523
15.931171, -0.00509817386
15.98349, -0.005082268035
16.035491, -0.005081801792
16.087586, -0.005081769777
16.139602, -0.005082540447
16.191842, -0.005078077083
16.24404, -0.005021358375
16.296065, -0.004893271253
16.348402, -0.004721236182
16.400529, -0.004544363474
16.452976, -0.004398861202
16.5047, -0.004278398119
16.556813, -0.004158312804
16.609141, -0.004033292062
16.661649, -0.003995561565
16.713056, -0.004089894937
16.765546, -0.00423845253
16.817543, -0.00438396848
16.869751, -0.00452576729
16.92193, -0.004638715764
