Timestamp,Elapsed_Time,Vdif,Va,Vb,Temperatura_C,Compensacion,Iexc
2025-12-04 12:22:55,206.851,0.0148335,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.903,0.0148230,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.955,0.0148191,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,207.007,0.0151029,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.060,0.0157897,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.111,0.0163803,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.164,0.0166493,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.216,0.0163998,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.268,0.0158249,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.320,0.0156858,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.372,0.0158437,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.424,0.0159207,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.476,0.0159593,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.529,0.0159807,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.581,0.0159875,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.633,0.0159873,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.685,0.0159866,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.737,0.0159801,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.789,0.0159675,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.841,0.0159567,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.893,0.0159529,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.945,0.0159507,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:56,207.998,0.0159488,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.050,0.0159412,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.102,0.0157080,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.154,0.0154950,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.207,0.0156715,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.258,0.0159291,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.311,0.0160728,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.363,0.0161447,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.415,0.0161860,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.467,0.0162165,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.519,0.0162315,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.571,0.0162394,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.624,0.0162457,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.675,0.0162515,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.728,0.0162620,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.780,0.0162710,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.832,0.0162650,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.884,0.0162548,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.936,0.0162536,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,208.988,0.0162566,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:57,209.040,0.0162589,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:58,209.093,0.0162612,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:58,209.145,0.0162630,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:58,209.197,0.0162638,0.0,0.00000000,30.28,0.000000,0.000000
