Timestamp,Sample_Number,TIVA_Voltage_Raw_V,TIVA_Voltage_Filtered_V,TIVA_Temperature_C
2025-10-21 00:01:22.960000,4149,0.353331,-0.323120,30.40
2025-10-21 00:01:22.980000,4150,0.394032,0.313435,30.34
2025-10-21 00:01:23.000000,4151,0.313031,0.310004,41.31
2025-10-21 00:01:23.020000,4152,0.045842,0.303431,13.10
2025-10-21 00:01:23.040000,4153,0.303235,0.303332,20.31
2025-10-21 00:01:23.060000,4154,0.403239,0.383431,36.32
2025-10-21 00:01:23.080000,4155,0.303231,0.383231,4.58
2025-10-21 00:01:23.100000,4156,0.310004,0.323230,31.32
2025-10-21 00:01:23.120000,4157,0.103230,0.333130,32.31
2025-10-21 00:01:23.140000,4158,0.313040,0.403238,32.34
2025-10-21 00:01:23.160000,4159,0.363830,0.303139,31.00
2025-10-21 00:01:23.180000,4160,0.584131,0.584232,30.34
2025-10-21 00:01:23.200000,4161,0.321310,0.323533,30.33
2025-10-21 00:01:23.220000,4162,0.312031,0.323940,38.34
2025-10-21 00:01:23.240000,4163,0.393634,0.323130,30.32
2025-10-21 00:01:23.260000,4164,0.000458,0.000458,32.32
2025-10-21 00:01:23.280000,4165,0.343132,0.323032,33.31
2025-10-21 00:01:23.300000,4166,0.333231,0.304032,40.32
2025-10-21 00:01:23.320000,4167,0.343334,0.313732,30.32
2025-10-21 00:01:23.340000,4168,0.323100,0.413100,58.42
2025-10-21 00:01:23.360000,4169,0.323034,0.131032,32.35
2025-10-21 00:01:23.380000,4170,-0.313033,0.203130,32.39
2025-10-21 00:01:23.400000,4171,0.323834,0.373733,32.31
2025-10-21 00:01:23.420000,4172,0.323232,0.045841,0.04
2025-10-21 00:01:23.440000,4173,0.423232,0.313213,32.30
2025-10-21 00:01:23.460000,4174,0.353331,-0.323120,30.40
2025-10-21 00:01:23.480000,4175,0.394032,0.343437,34.35
2025-10-21 00:01:23.500000,4176,0.313032,0.310004,41.31
2025-10-21 00:01:23.520000,4177,0.045842,0.303431,13.10
2025-10-21 00:01:23.540000,4178,0.303235,0.303332,20.31
2025-10-21 00:01:23.560000,4179,0.403239,0.383434,38.30
2025-10-21 00:01:23.580000,4180,0.303231,0.343231,4.58
2025-10-21 00:01:23.600000,4181,0.310004,0.323230,31.32
2025-10-21 00:01:23.620000,4182,0.103230,0.333130,32.31
2025-10-21 00:01:23.640000,4183,0.313040,0.403238,35.34
2025-10-21 00:01:23.660000,4184,0.393834,0.303235,31.00
2025-10-21 00:01:23.680000,4185,0.584131,0.584232,30.34
2025-10-21 00:01:23.700000,4186,0.321310,0.323533,30.33
2025-10-21 00:01:23.720000,4187,0.312031,0.323940,38.34
